Wavelength [nm],Lampe Halogene #0,DEL #2,Bulbe Halogen  #3,DEL #2,Fluorescent tourbillon,DEL Chandelier,Fluorescent Philipps,Globe incandescent,
195.774,36.18,20.82,78.33,120.83,0.51,-58.54,64.85,87.21,
195.993,54.61,129.36,139.77,122.88,125.44,103.25,101.72,158.89,
196.212,30.04,72.02,113.15,6.14,16.9,90.96,13.65,42.15,
196.432,91.48,4.44,41.47,36.86,-15.87,15.19,60.76,64.68,
196.651,-6.83,-5.8,131.58,26.62,78.33,-9.39,9.56,89.26,
196.87,23.89,59.73,102.91,12.29,0.51,125.78,-17.07,52.39,
197.089,230.74,203.09,262.65,196.61,219.64,246.61,249.17,214.18,
197.308,103.76,88.4,143.87,61.44,2.56,72.53,99.67,105.64,
197.528,62.8,139.6,98.81,192.51,100.86,76.63,118.1,140.46,
197.747,-15.02,-5.8,-15.87,38.91,8.7,-58.54,-8.87,-29.52,
197.966,73.04,59.73,39.42,75.77,64,37.72,44.37,81.07,
198.185,150.87,82.26,176.64,143.36,86.53,219.99,97.62,203.94,
198.404,-41.64,-5.8,84.48,0,-48.64,-33.96,25.94,-19.29,
198.623,85.33,65.88,139.77,124.93,117.25,105.3,154.96,183.46,
198.842,132.44,112.98,164.35,114.69,88.57,181.07,56.66,152.74,
199.062,95.57,115.03,139.77,131.07,104.96,111.44,136.53,185.51,
199.281,191.83,92.5,162.3,153.6,70.14,148.31,118.1,91.31,
199.5,165.2,84.31,123.39,8.19,53.76,41.81,118.1,142.5,
199.719,73.04,115.03,195.07,88.06,80.38,82.77,87.38,124.07,
199.938,97.62,129.36,147.97,40.96,55.81,133.97,34.13,97.45,
200.157,111.96,98.64,92.67,92.16,59.9,56.15,154.96,124.07,
200.376,140.63,74.07,111.1,145.41,111.1,82.77,73.04,132.26,
200.595,152.92,110.93,217.6,59.39,145.92,174.93,167.25,160.94,
200.814,75.09,78.16,113.15,178.17,33.28,172.88,99.67,97.45,
201.033,-10.92,-16.04,33.28,10.24,31.23,-5.29,-12.97,17.58,
201.252,183.63,147.8,293.37,124.93,154.11,193.36,212.31,150.7,
201.471,40.28,53.59,100.86,147.45,68.09,35.67,83.28,95.4,
201.69,99.67,45.4,221.69,92.16,31.23,115.54,89.43,99.5,
201.909,-43.69,92.5,51.71,12.29,25.09,4.95,1.37,101.55,
202.128,95.57,74.07,150.01,124.93,74.24,109.4,109.91,113.83,
202.347,101.72,92.5,127.49,149.5,68.09,52.05,146.77,62.63,
202.566,114,86.36,82.43,6.14,90.62,99.16,46.42,-15.19,
202.785,-51.88,-48.81,74.24,-30.72,2.56,-5.29,-68.27,17.58,
203.004,25.94,-28.33,-3.58,-14.34,-44.54,86.87,30.04,72.87,
203.223,263.51,225.62,199.16,268.28,248.32,273.23,249.17,271.53,
203.442,73.04,88.4,49.66,81.92,31.23,7,13.65,-9.05,
203.661,-37.55,16.73,10.75,22.53,-81.41,-13.48,-45.74,13.48,
203.879,62.8,74.07,119.29,98.3,45.57,56.15,46.42,83.11,
204.098,138.58,162.13,174.59,161.79,188.93,154.45,97.62,224.42,
204.317,-25.26,0.34,27.14,61.44,-22.02,27.48,-0.68,27.82,
204.536,27.99,129.36,176.64,147.45,125.44,213.84,91.48,83.11,
204.755,116.05,127.32,201.21,129.02,86.53,47.96,64.85,95.4,
204.974,138.58,108.88,111.1,112.64,113.15,123.73,120.15,91.31,
205.193,34.13,-95.91,41.47,83.97,-30.21,43.86,48.47,5.29,
205.411,218.45,110.93,201.21,145.41,119.29,170.83,154.96,193.7,
205.63,126.29,86.36,207.36,96.25,127.49,172.88,202.07,140.46,
205.849,11.61,29.01,94.72,40.96,64,148.31,21.85,76.97,
206.068,30.04,47.44,45.57,10.24,-7.68,-11.43,42.32,54.44,
206.287,-25.26,-9.9,78.33,-12.29,-77.31,72.53,58.71,33.96,
206.505,40.28,188.75,156.16,161.79,125.44,113.49,114,113.83,
206.724,34.13,31.06,98.81,65.54,43.52,45.91,-4.78,64.68,
206.943,-27.31,51.54,72.19,8.19,12.8,-101.55,7.51,-4.95,
207.162,-6.83,-3.75,68.09,28.67,6.66,21.33,50.52,40.11,
207.381,9.56,29.01,176.64,92.16,57.86,54.1,71,103.59,
207.599,71,98.64,86.53,81.92,78.33,84.82,64.85,103.59,
207.818,-6.83,55.64,117.25,47.1,18.94,39.76,44.37,117.93,
208.037,36.18,10.58,47.62,36.86,-112.13,39.76,38.23,50.35,
208.255,21.85,55.64,152.06,2.05,68.09,13.14,130.39,48.3,
208.474,58.71,119.12,119.29,73.73,-9.73,52.05,99.67,89.26,
208.693,77.14,94.55,109.05,71.68,39.42,74.58,52.56,58.54,
208.911,5.46,6.49,72.19,26.62,12.8,-38.06,-17.07,11.43,
209.13,50.52,63.83,131.58,180.22,72.19,117.59,79.19,240.81,
209.349,44.37,74.07,131.58,59.39,59.9,66.39,1.37,138.41,
209.567,140.63,90.45,119.29,67.58,55.81,131.92,50.52,101.55,
209.786,124.24,180.56,166.4,63.49,61.95,125.78,66.9,107.69,
210.005,165.2,123.22,156.16,163.84,104.96,150.36,79.19,62.63,
210.223,118.1,-57,121.34,63.49,80.38,90.96,19.8,70.83,
210.442,-39.59,-93.87,-34.3,12.29,-99.84,-60.59,-33.45,-60.24,
210.661,34.13,-18.09,72.19,118.78,84.48,27.48,11.61,-76.63,
210.879,27.99,41.3,66.05,90.11,100.86,117.59,46.42,74.92,
211.098,99.67,69.97,72.19,57.34,25.09,31.57,56.66,1.19,
211.316,-21.16,16.73,123.39,129.02,154.11,52.05,79.19,101.55,
211.535,152.92,24.92,190.97,71.68,102.91,-9.39,132.44,126.12,
211.753,56.66,82.26,102.91,0,18.94,80.72,66.9,115.88,
211.972,60.76,82.26,98.81,92.16,127.49,109.4,-17.07,48.3,
212.191,77.14,12.63,31.23,4.1,2.56,90.96,-4.78,54.44,
212.409,13.65,22.87,100.86,75.77,-1.54,29.52,107.86,29.87,
212.628,54.61,82.26,64,167.93,92.67,113.49,42.32,70.83,
212.846,17.75,49.49,78.33,34.82,-9.73,47.96,46.42,66.73,
213.065,95.57,119.12,154.11,77.82,143.87,76.63,66.9,144.55,
213.283,118.1,98.64,170.49,73.73,88.57,115.54,89.43,165.03,
213.502,44.37,47.44,84.48,-8.19,45.57,47.96,114,70.83,
213.72,-17.07,39.25,115.2,32.77,25.09,95.06,77.14,105.64,
213.938,52.56,43.35,82.43,71.68,88.57,82.77,42.32,1.19,
214.157,-58.03,8.53,107.01,-36.86,49.66,9.05,15.7,79.02,
214.375,159.06,92.5,215.55,129.02,121.34,152.4,122.2,74.92,
214.594,27.99,29.01,82.43,51.2,-24.06,117.59,13.65,-25.43,
214.812,38.23,160.08,74.24,190.46,61.95,113.49,87.38,119.98,
215.031,50.52,31.06,70.14,69.63,84.48,23.38,7.51,-15.19,
215.249,-21.16,37.2,150.01,92.16,78.33,88.92,54.61,81.07,
215.467,46.42,53.59,80.38,71.68,94.72,121.68,17.75,29.87,
215.686,73.04,67.92,25.09,10.24,4.61,25.43,75.09,-2.9,
215.904,89.43,47.44,166.4,157.69,8.7,127.83,48.47,138.41,
216.122,66.9,53.59,109.05,81.92,12.8,62.29,19.8,1.19,
216.341,132.44,131.41,221.69,145.41,104.96,213.84,169.3,113.83,
216.559,126.29,20.82,57.86,67.58,35.33,88.92,-8.87,44.2,
216.778,50.52,117.08,195.07,172.03,88.57,86.87,93.52,76.97,
216.996,185.68,164.18,297.47,141.31,111.1,158.55,148.82,144.55,
217.214,11.61,74.07,92.67,-49.15,74.24,21.33,73.04,48.3,
217.432,13.65,37.2,35.33,-88.06,31.23,4.95,-29.35,74.92,
217.651,-21.16,-57,51.71,-24.58,-101.89,-40.11,-53.93,-58.2,
217.869,77.14,55.64,47.62,53.25,39.42,45.91,9.56,87.21,
218.087,-23.21,-24.23,25.09,30.72,-9.73,107.35,-21.16,31.91,
218.306,32.08,37.2,70.14,-59.39,2.56,62.29,77.14,-2.9,
218.524,44.37,39.25,147.97,124.93,27.14,144.21,17.75,70.83,
218.742,54.61,41.3,16.9,-16.38,10.75,162.64,34.13,72.87,
218.96,87.38,-3.75,162.3,53.25,51.71,152.4,93.52,158.89,
219.179,101.72,41.3,94.72,43.01,-1.54,25.43,-15.02,58.54,
219.397,32.08,65.88,64,67.58,31.23,-36.01,52.56,107.69,
219.615,224.59,211.28,301.56,206.84,188.93,314.19,263.51,238.76,
219.833,85.33,129.36,115.2,90.11,55.81,115.54,136.53,152.74,
220.051,-37.55,14.68,88.57,14.34,-52.74,-25.77,21.85,38.06,
220.27,116.05,121.17,131.58,51.2,49.66,107.35,101.72,134.31,
220.488,89.43,76.12,119.29,182.27,150.01,174.93,93.52,48.3,
220.706,114,-13.99,143.87,106.49,78.33,117.59,7.51,130.22,
220.924,-4.78,45.4,78.33,-43.01,-52.74,11.09,42.32,-58.2,
221.142,46.42,6.49,107.01,6.14,14.85,7,-51.88,13.48,
221.36,50.52,57.68,135.68,75.77,92.67,68.44,46.42,130.22,
221.578,17.75,82.26,180.73,137.21,72.19,76.63,120.15,54.44,
221.796,5.46,8.53,70.14,49.15,10.75,90.96,46.42,33.96,
222.015,15.7,16.73,53.76,34.82,20.99,93.01,32.08,52.39,
222.233,54.61,41.3,76.29,79.87,72.19,133.97,68.95,126.12,
222.451,124.24,112.98,268.8,133.12,145.92,136.02,220.5,195.75,
222.669,15.7,41.3,111.1,18.43,-30.21,-13.48,19.8,36.01,
222.887,87.38,102.74,227.84,153.6,98.81,97.11,99.67,101.55,
223.105,-29.35,-28.33,72.19,6.14,37.38,-38.06,3.41,40.11,
223.323,15.7,24.92,127.49,28.67,59.9,66.39,30.04,124.07,
223.541,-17.07,12.63,115.2,14.34,45.57,23.38,46.42,21.67,
223.759,68.95,67.92,96.77,165.89,57.86,84.82,34.13,62.63,
223.977,7.51,31.06,12.8,114.69,82.43,74.58,36.18,50.35,
224.195,175.44,149.84,270.84,190.46,176.64,160.59,163.15,144.55,
224.413,116.05,129.36,123.39,131.07,80.38,95.06,62.8,70.83,
224.631,73.04,-18.09,123.39,112.64,51.71,113.49,68.95,148.65,
224.849,54.61,133.46,160.25,77.82,20.99,25.43,32.08,85.16,
225.067,236.88,137.56,242.17,120.83,172.54,201.55,197.97,240.81,
225.285,34.13,4.44,16.9,59.39,-24.06,2.9,11.61,36.01,
225.503,-35.5,10.58,64,96.25,-28.16,4.95,-29.35,3.24,
225.721,-164.52,-71.34,20.99,-43.01,-73.21,-72.87,-74.41,-17.24,
225.939,60.76,47.44,150.01,79.87,25.09,125.78,30.04,193.7,
226.157,71,143.7,205.31,77.82,6.66,-13.48,140.63,83.11,
226.375,206.16,192.85,281.08,268.28,309.76,248.66,226.64,228.52,
226.592,9.56,-67.24,31.23,4.1,8.7,-27.82,-39.59,66.73,
226.81,-31.4,29.01,164.35,-43.01,35.33,80.72,-10.92,64.68,
227.028,128.34,94.55,131.58,69.63,84.48,127.83,101.72,175.27,
227.246,134.48,135.51,205.31,221.18,166.4,121.68,132.44,152.74,
227.464,91.48,63.83,164.35,92.16,20.99,15.19,93.52,95.4,
227.682,122.2,100.69,172.54,174.08,117.25,105.3,50.52,150.7,
227.9,50.52,2.39,127.49,94.21,66.05,113.49,163.15,44.2,
228.117,91.48,39.25,168.45,36.86,-3.58,13.14,44.37,76.97,
228.335,25.94,72.02,145.92,75.77,111.1,47.96,148.82,132.26,
228.553,48.47,-38.57,0.51,96.25,-17.92,144.21,1.37,25.77,
228.771,25.94,-11.95,96.77,47.1,23.04,95.06,-35.5,93.35,
228.989,99.67,6.49,203.26,112.64,51.71,99.16,87.38,81.07,
229.206,85.33,90.45,186.88,67.58,66.05,50,71,60.59,
229.424,114,6.49,33.28,20.48,35.33,66.39,25.94,-9.05,
229.642,27.99,-73.39,-11.78,49.15,96.77,-23.72,50.52,15.53,
229.86,-19.11,-16.04,37.38,-14.34,-28.16,-1.19,-55.98,29.87,
230.077,114,92.5,254.46,159.74,135.68,183.12,107.86,242.85,
230.295,73.04,24.92,96.77,133.12,39.42,140.12,-2.73,-11.09,
230.513,97.62,94.55,190.97,88.06,117.25,136.02,75.09,226.47,
230.731,83.28,78.16,137.73,108.54,45.57,56.15,81.24,76.97,
230.948,197.97,215.38,197.12,241.66,164.35,191.31,210.26,236.71,
231.166,148.82,164.18,205.31,94.21,225.79,179.03,161.11,181.42,
231.384,13.65,22.87,127.49,49.15,49.66,2.9,56.66,50.35,
231.601,-31.4,-42.67,64,-10.24,-83.45,7,-55.98,-31.57,
231.819,185.68,151.89,164.35,141.31,172.54,222.03,206.16,158.89,
232.037,3.41,-79.53,14.85,22.53,-17.92,35.67,-39.59,27.82,
232.254,-0.68,-32.43,-15.87,34.82,51.71,-70.83,-15.02,25.77,
232.472,27.99,-36.52,53.76,22.53,-48.64,37.72,83.28,48.3,
232.689,-12.97,-24.23,47.62,47.1,55.81,-3.24,56.66,-7,
232.907,165.2,129.36,162.3,176.13,117.25,185.17,120.15,222.38,
233.125,-0.68,78.16,4.61,10.24,31.23,0.85,44.37,54.44,
233.342,30.04,29.01,53.76,83.97,107.01,56.15,-0.68,-23.38,
233.56,58.71,22.87,113.15,-94.21,-52.74,17.24,-6.83,13.48,
233.777,38.23,29.01,45.57,-6.14,35.33,68.44,95.57,79.02,
233.995,97.62,39.25,90.62,26.62,53.76,54.1,-27.31,36.01,
234.213,116.05,90.45,135.68,184.32,115.2,84.82,89.43,181.42,
234.43,114,112.98,170.49,124.93,96.77,62.29,54.61,68.78,
234.648,7.51,16.73,121.34,92.16,45.57,23.38,-19.11,62.63,
