Wavelength [nm],Lampe Halogene #0,DEL #2,Bulbe Halogen  #3,DEL #2,Fluorescent tourbillon,DEL Chandelier,Fluorescent Philipps,Globe incandescent,
375.53,728.39,211.28,1862.12,188.41,180.73,154.45,214.35,1131.67,
375.74,738.63,86.36,1898.98,165.89,98.81,131.92,167.25,1070.23,
375.951,673.1,67.92,1763.81,18.43,82.43,76.63,81.24,992.41,
376.161,744.78,-30.38,1870.31,184.32,113.15,52.05,75.09,1103,
376.372,822.6,164.18,1931.75,163.84,100.86,127.83,111.96,1096.86,
376.582,617.8,45.4,1759.72,22.53,80.38,70.48,81.24,1080.47,
376.793,755.02,45.4,1921.51,143.36,59.9,105.3,93.52,1057.95,
377.003,677.2,-26.28,1884.64,-47.1,0.51,43.86,23.89,967.84,
377.214,755.02,61.78,1909.22,83.97,-73.21,11.09,21.85,1059.99,
377.424,771.4,88.4,1892.84,106.49,94.72,64.34,138.58,1051.8,
377.635,808.27,37.2,1978.85,124.93,76.29,138.07,111.96,1086.62,
377.845,646.48,-36.52,1761.77,83.97,-75.26,15.19,-19.11,1059.99,
378.055,781.64,112.98,1896.93,137.21,125.44,170.83,195.92,1172.63,
378.266,718.15,10.58,1931.75,-6.14,-17.92,45.91,81.24,1027.23,
378.476,724.3,18.77,1978.85,83.97,102.91,-15.53,177.49,1129.63,
378.686,853.32,65.88,2001.38,65.54,47.62,121.68,171.35,1109.15,
378.897,861.51,84.31,1995.23,116.73,152.06,86.87,89.43,1084.57,
379.107,875.85,137.56,2001.38,184.32,86.53,127.83,191.83,1127.58,
379.317,736.59,131.41,2058.72,79.87,39.42,93.01,152.92,1158.3,
379.528,861.51,39.25,1944.03,90.11,23.04,7,85.33,1139.87,
379.738,828.74,35.16,2138.59,137.21,59.9,80.72,167.25,1164.44,
379.948,746.83,-46.76,2073.06,-59.39,39.42,-17.58,111.96,1076.38,
380.158,843.08,117.08,2152.93,116.73,170.49,172.88,142.68,1250.46,
380.369,814.41,57.68,2093.54,126.97,41.47,17.24,36.18,1184.92,
380.579,861.51,74.07,2191.84,135.17,84.48,123.73,114,1141.91,
380.789,922.95,8.53,2099.68,75.77,49.66,27.48,111.96,1160.34,
380.999,922.95,63.83,2083.3,122.88,111.1,140.12,138.58,1092.76,
381.21,890.18,108.88,2195.93,129.02,125.44,117.59,111.96,1289.37,
381.42,1058.12,227.67,2275.81,188.41,150.01,203.6,234.83,1326.23,
381.63,875.85,-16.04,2152.93,112.64,14.85,103.25,58.71,1178.78,
381.84,1029.45,65.88,2087.39,190.46,119.29,181.07,114,1354.9,
382.05,968.01,29.01,2294.24,108.54,88.57,90.96,48.47,1211.54,
382.261,959.81,86.36,2093.54,124.93,70.14,195.41,159.06,1275.03,
382.471,1031.49,192.85,2249.18,86.01,195.07,144.21,140.63,1252.5,
382.681,877.9,57.68,2017.76,77.82,29.18,11.09,62.8,1191.06,
382.891,1029.45,172.37,2355.68,153.6,213.5,146.26,150.87,1385.62,
383.101,951.62,35.16,2277.85,59.39,96.77,154.45,185.68,1234.07,
383.311,908.62,-7.85,2179.55,92.16,10.75,45.91,40.28,1211.54,
383.521,937.29,-20.14,2058.72,57.34,-19.97,43.86,118.1,1176.73,
383.731,972.1,117.08,2206.17,47.1,150.01,148.31,136.53,1301.65,
383.941,1054.02,106.84,2267.61,124.93,100.86,215.89,171.35,1420.44,
384.151,951.62,102.74,2195.93,88.06,98.81,43.86,75.09,1324.18,
384.361,912.71,2.39,2251.23,92.16,20.99,62.29,32.08,1305.75,
384.571,974.15,74.07,2261.47,59.39,31.23,45.91,93.52,1436.82,
384.781,1090.88,57.68,2253.28,122.88,107.01,113.49,114,1494.16,
384.991,1078.6,145.75,2531.8,215.04,190.97,240.47,181.59,1533.08,
385.201,1148.23,155.99,2427.35,237.56,213.5,246.61,283.99,1504.4,
385.411,1066.31,57.68,2302.43,112.64,51.71,17.24,91.48,1389.72,
385.621,1033.54,20.82,2415.07,98.3,76.29,103.25,34.13,1402.01,
385.831,1107.27,92.5,2322.91,124.93,131.58,90.96,109.91,1377.43,
386.041,1172.8,33.11,2460.12,88.06,10.75,72.53,124.24,1442.96,
386.251,1099.08,24.92,2314.72,153.6,41.47,113.49,36.18,1477.78,
386.461,1156.42,119.12,2453.98,63.49,129.53,111.44,93.52,1539.22,
386.671,1119.56,78.16,2417.12,81.92,8.7,133.97,48.47,1410.2,
386.881,1027.4,20.82,2605.53,69.63,72.19,142.16,130.39,1404.05,
387.091,1074.5,112.98,2359.77,110.59,33.28,82.77,73.04,1385.62,
387.301,1187.14,86.36,2433.5,145.41,135.68,109.4,214.35,1473.68,
387.511,1103.17,41.3,2462.17,98.3,61.95,47.96,34.13,1492.12,
387.72,1115.46,63.83,2382.3,169.98,90.62,93.01,116.05,1477.78,
387.93,1146.18,188.75,2597.34,69.63,133.63,133.97,181.59,1442.96,
388.14,974.15,-36.52,2410.97,-8.19,6.66,9.05,-35.5,1309.85,
388.35,1135.94,90.45,2486.75,94.21,66.05,80.72,150.87,1520.79,
388.56,1269.06,172.37,2578.9,135.17,152.06,162.64,101.72,1586.32,
388.769,1183.04,115.03,2701.78,131.07,57.86,109.4,175.44,1412.25,
388.979,1109.32,84.31,2570.71,43.01,98.81,84.82,-4.78,1582.23,
389.189,1107.27,-1.71,2335.2,59.39,-15.87,80.72,30.04,1365.14,
389.399,1109.32,14.68,2378.2,55.3,53.76,115.54,71,1549.46,
389.609,1271.11,176.47,2566.62,239.61,92.67,166.74,52.56,1584.27,
389.818,1168.71,141.65,2533.85,106.49,121.34,72.53,122.2,1516.69,
390.028,1221.95,22.87,2564.57,96.25,-5.63,119.64,66.9,1483.92,
390.238,1281.35,110.93,2685.4,167.93,76.29,133.97,85.33,1526.93,
390.447,1131.84,35.16,2462.17,26.62,59.9,-46.25,-8.87,1467.54,
390.657,1242.43,115.03,2607.58,186.37,31.23,47.96,146.77,1522.84,
390.867,1228.1,31.06,2544.09,43.01,82.43,66.39,122.2,1533.08,
391.076,1111.36,-65.19,2501.08,38.91,39.42,-7.34,-21.16,1479.83,
391.286,1240.39,149.84,2767.32,59.39,111.1,52.05,101.72,1561.75,
391.496,1086.79,12.63,2482.65,100.35,4.61,2.9,5.46,1483.92,
391.705,1127.75,65.88,2714.07,98.3,76.29,11.09,46.42,1653.91,
391.915,1187.14,102.74,2736.6,163.84,162.3,131.92,230.74,1662.1,
392.125,1344.83,53.59,2654.68,139.26,107.01,144.21,195.92,1721.49,
392.334,1226.05,14.68,2681.3,61.44,51.71,88.92,30.04,1594.51,
392.544,1318.21,217.43,2836.95,180.22,158.21,162.64,200.02,1670.29,
392.753,1176.9,55.64,2699.73,40.96,115.2,127.83,40.28,1631.38,
392.963,1181,-26.28,2718.17,61.44,39.42,-29.87,25.94,1514.64,
393.172,1260.87,86.36,2769.37,100.35,107.01,88.92,87.38,1692.82,
393.382,1174.85,-69.29,2626.01,-14.34,8.7,11.09,-23.21,1549.46,
393.591,1328.45,209.23,2851.28,161.79,176.64,256.85,220.5,1729.68,
393.801,1226.05,65.88,2568.66,34.82,43.52,31.57,126.29,1666.19,
394.01,1340.74,112.98,2714.07,163.84,215.55,172.88,220.5,1758.35,
394.22,1344.83,82.26,2714.07,96.25,154.11,154.45,154.96,1754.26,
394.429,1254.72,33.11,2845.14,79.87,152.06,2.9,60.76,1539.22,
394.639,1402.18,33.11,2613.72,83.97,104.96,68.44,109.91,1647.76,
394.848,1326.4,78.16,2802.13,122.88,82.43,133.97,134.48,1692.82,
395.058,1342.78,123.22,2806.23,135.17,113.15,66.39,152.92,1842.32,
395.267,1256.77,39.25,2783.7,106.49,61.95,66.39,89.43,1649.81,
395.477,1324.35,121.17,2978.26,176.13,182.78,123.73,85.33,1729.68,
395.686,1353.02,16.73,2996.69,92.16,82.43,70.48,79.19,1764.5,
395.895,1496.38,229.71,3107.28,247.8,227.84,232.27,320.85,1891.47,
396.105,1412.42,176.47,2904.53,239.61,250.36,244.56,140.63,2016.4,
396.314,1318.21,106.84,2882,172.03,141.82,37.72,146.77,1799.31,
396.524,1367.36,84.31,2849.24,114.69,6.66,35.67,97.62,1725.58,
396.733,1320.26,74.07,2800.09,79.87,57.86,121.68,42.32,1766.54,
396.942,1383.74,180.56,2982.35,145.41,199.16,105.3,208.21,1948.81,
397.152,1398.08,135.51,2890.2,102.4,82.43,95.06,136.53,1813.65,
397.361,1432.9,143.7,2963.92,137.21,123.39,133.97,89.43,1752.21,
397.57,1426.75,45.4,2980.31,102.4,90.62,121.68,120.15,1760.4,
397.78,1348.93,112.98,2882,-16.38,94.72,103.25,62.8,1807.5,
397.989,1459.52,115.03,2941.4,141.31,104.96,105.3,87.38,1746.06,
398.198,1494.33,221.52,3043.79,274.43,252.41,230.23,283.99,1905.81,
398.407,1467.71,80.21,3031.51,104.45,129.53,39.76,109.91,1782.93,
398.617,1494.33,24.92,2998.74,96.25,117.25,47.96,83.28,1856.65,
398.826,1426.75,72.02,2949.59,147.45,4.61,97.11,62.8,1887.37,
399.035,1377.6,80.21,2814.42,77.82,45.57,11.09,66.9,1805.46,
399.244,1451.33,170.32,3123.66,204.8,160.25,209.75,109.91,1862.8,
399.453,1490.24,41.3,2959.83,104.45,123.39,50,77.14,1787.02,
399.663,1494.33,37.2,3176.91,190.46,6.66,43.86,107.86,1942.67,
399.872,1572.16,90.45,3045.84,161.79,66.05,101.2,111.96,1817.74,
400.081,1377.6,-59.05,3101.14,-30.72,76.29,15.19,-45.74,1852.56,
400.29,1635.64,209.23,3133.9,194.56,109.05,189.27,99.67,1889.42,
400.499,1563.97,90.45,3125.71,28.67,6.66,54.1,44.37,1823.89,
400.708,1529.15,133.46,3013.07,139.26,162.3,160.59,40.28,1979.53,
400.917,1588.54,22.87,3103.18,40.96,20.99,93.01,114,1952.91,
401.127,1375.55,115.03,3097.04,94.21,84.48,39.76,107.86,1840.27,
401.336,1506.62,51.54,3131.86,98.3,23.04,15.19,13.65,1975.44,
401.545,1625.4,260.43,3267.02,210.94,215.55,195.41,167.25,2020.49,
401.754,1738.04,166.23,3240.4,178.17,104.96,150.36,177.49,1942.67,
401.963,1678.65,254.29,3320.27,174.08,190.97,86.87,204.11,2153.61,
402.172,1604.92,123.22,3086.8,75.77,117.25,103.25,183.63,2008.2,
402.381,1549.63,18.77,3045.84,2.05,168.45,31.57,220.5,1926.29,
402.59,1590.59,172.37,3140.05,157.69,221.69,113.49,462.16,1934.48,
402.799,1594.69,96.6,3170.77,22.53,248.32,101.2,671.05,2092.17,
403.008,1758.52,143.7,3330.51,182.27,379.39,86.87,927.05,2126.99,
403.217,1656.12,176.47,3207.63,67.58,332.28,31.57,1092.93,1952.91,
403.426,1705.28,190.8,3289.55,137.21,492.02,222.03,1557.82,2198.67,
403.635,1541.44,76.12,3123.66,38.91,338.43,27.48,1647.93,1858.7,
403.844,1596.73,69.97,3107.28,106.49,514.55,15.19,2028.85,2108.55,
404.053,1680.7,149.84,3375.56,79.87,709.11,31.57,2641.2,2092.17,
404.262,1676.6,98.64,3312.08,106.49,745.97,23.38,3274.02,2020.49,
404.471,1885.5,223.57,3404.24,206.84,1018.35,236.37,4246.8,2268.3,
404.68,1697.08,205.14,3342.8,231.42,1036.78,121.68,4838.67,2126.99,
404.888,1740.09,86.36,3316.17,63.49,1163.76,80.72,5037.32,1973.39,
405.097,1733.95,151.89,3146.19,83.97,1016.3,76.63,5176.58,2110.6,
405.306,1742.14,239.95,3340.75,79.87,868.85,101.2,4664.59,2253.96,
405.515,1772.86,221.52,3420.62,86.01,881.14,133.97,3945.75,2258.06,
405.724,1748.28,123.22,3166.67,120.83,631.29,136.02,2862.38,2167.95,
405.933,1889.59,221.52,3602.89,165.89,559.61,176.98,2231.6,2262.15,
406.142,1811.77,215.38,3469.77,155.65,356.86,127.83,1531.2,2116.75,
406.35,1848.63,321.87,3453.39,159.74,399.87,148.31,1113.41,2237.58,
406.559,1891.64,137.56,3563.98,157.69,209.4,74.58,712.01,2274.44,
406.768,1848.63,184.66,3422.67,190.46,215.55,119.64,554.32,2266.25,
406.977,1838.39,338.26,3572.17,235.52,311.8,211.79,492.88,2321.54,
407.185,1944.89,235.86,3699.14,174.08,246.27,43.86,437.58,2266.25,
407.394,1809.72,250.19,3484.11,149.5,276.99,154.45,372.05,2219.14,
407.603,1756.47,145.75,3424.72,12.29,90.62,70.48,380.24,2194.57,
407.812,1858.87,270.67,3465.68,159.74,240.12,162.64,544.08,2335.88,
408.02,1924.41,338.26,3574.22,174.08,344.57,189.27,634.19,2464.9,
408.229,1877.3,164.18,3471.82,47.1,129.53,64.34,490.83,2327.69,
408.438,1891.64,207.19,3594.7,161.79,205.31,150.36,529.74,2411.65,
408.646,1975.61,147.8,3652.04,92.16,129.53,29.52,324.94,2294.92,
408.855,1860.92,266.58,3518.92,161.79,209.4,82.77,312.66,2282.63,
409.064,1967.42,209.23,3711.43,188.41,268.8,123.73,238.93,2421.89,
409.272,1875.26,258.39,3613.13,151.55,162.3,154.45,228.69,2309.26,
409.481,2123.06,340.3,3809.73,198.65,137.73,111.44,212.31,2360.45,
409.69,1926.46,162.13,3637.7,47.1,70.14,72.53,122.2,2403.46,
409.898,1942.84,143.7,3588.55,75.77,137.73,64.34,89.43,2249.86,
410.107,2090.29,282.96,3705.29,153.6,133.63,181.07,140.63,2405.51,
410.315,2065.72,325.97,3828.17,215.04,131.58,15.19,195.92,2471.04,
410.524,1934.65,297.3,3680.71,186.37,84.48,156.5,83.28,2423.94,
410.733,2051.38,307.54,3832.26,243.71,240.12,140.12,126.29,2442.37,
410.941,2161.97,270.67,3776.97,174.08,131.58,123.73,122.2,2389.13,
411.15,2094.39,289.1,3770.82,266.24,258.56,201.55,154.96,2524.29,
411.358,2000.18,330.06,3908.04,249.85,276.99,166.74,179.54,2479.24,
411.567,2086.2,362.83,4008.39,260.09,233.98,234.32,269.65,2673.79,
411.775,2084.15,330.06,3844.55,143.36,297.47,138.07,68.95,2505.86,
411.984,2133.3,348.5,3715.53,194.56,242.17,123.73,232.79,2460.81,
412.192,2176.31,317.78,3801.54,284.67,266.75,117.59,163.15,2555.01,
412.401,2032.95,393.55,3834.31,233.47,150.01,68.44,173.39,2442.37,
412.609,2274.61,360.78,4133.31,296.96,303.61,238.42,281.94,2714.75,
412.818,2209.08,502.09,4153.79,258.04,264.7,179.03,167.25,2548.87,
413.026,2131.25,328.02,3895.75,301.05,199.16,150.36,206.16,2557.06,
413.234,2114.87,405.84,3832.26,172.03,209.4,52.05,126.29,2471.04,
413.443,2215.22,407.89,3928.52,253.95,254.46,88.92,150.87,2661.51,
413.651,1963.32,287.06,3955.14,241.66,205.31,35.67,142.68,2548.87,
413.86,2184.5,432.46,3996.1,200.7,332.28,11.09,224.59,2618.5,
414.068,2229.56,426.32,4131.26,354.3,391.67,228.18,302.42,2634.88,
414.276,2374.96,409.94,4075.97,409.59,461.3,203.6,326.99,2761.86,
414.485,2288.95,350.54,3899.84,288.76,326.14,105.3,216.4,2571.4,
414.693,2190.64,524.62,4137.41,331.77,524.79,246.61,277.84,2684.03,
414.901,2356.53,590.16,4121.03,407.55,569.85,238.42,410.96,2823.3,
415.11,2239.8,506.19,4170.18,299,551.42,185.17,273.75,2708.61,
415.318,2084.15,368.98,3908.04,264.19,559.61,150.36,322.9,2657.41,
415.526,2282.8,489.81,4080.07,233.47,592.37,95.06,347.47,2679.94,
415.734,2250.03,586.06,4002.24,434.17,745.97,240.47,351.57,2784.38,
415.943,2264.37,543.05,4227.52,313.34,817.65,166.74,384.34,2655.36,
416.151,2217.27,545.1,4161.98,352.25,889.33,189.27,554.32,2845.82,
416.359,2190.64,491.85,3996.1,280.57,797.17,119.64,394.58,2776.19,
416.567,2211.12,616.78,4014.53,311.29,670.2,136.02,398.67,2684.03,
416.776,2366.77,610.64,4192.7,374.78,729.59,193.36,408.91,2722.95,
416.984,2268.47,577.87,4061.63,419.83,776.69,140.12,427.34,2794.62,
417.192,2426.16,545.1,4237.76,575.48,580.09,246.61,435.53,2919.55,
417.4,2315.57,592.2,4168.13,372.73,524.79,78.68,259.41,2800.77,
417.608,2280.75,604.49,4006.34,215.04,504.31,117.59,312.66,2686.08,
417.817,2290.99,534.86,4051.39,266.24,406.01,97.11,222.55,2647.17,
418.025,2450.74,686.41,4094.4,491.51,643.57,150.36,345.42,2786.43,
418.233,2479.41,708.94,4217.28,522.23,786.93,248.66,478.54,2835.58,
418.441,2252.08,627.02,4022.72,311.29,559.61,54.1,243.03,2718.85,
418.649,2268.47,559.44,4063.68,348.15,553.46,47.96,245.07,2749.57,
418.857,2460.98,676.17,4204.99,485.37,739.83,144.21,447.82,2901.12,
419.065,2524.46,784.71,4211.14,546.81,795.12,338.77,382.29,2884.73,
419.273,2389.3,620.88,4161.98,405.5,707.06,64.34,337.23,2657.41,
419.481,2528.56,717.13,4268.48,432.12,825.84,176.98,365.9,2831.49,
419.689,2463.02,766.28,4540.86,507.9,981.49,228.18,521.55,2913.41,
419.897,2485.55,776.52,4239.81,436.22,1038.83,222.03,517.45,2811.01,
420.105,2377.01,674.12,4456.89,452.6,1034.74,84.82,480.59,2974.85,
420.313,2368.82,807.24,4385.21,526.33,1075.7,144.21,546.13,3015.8,
420.521,2471.22,880.97,4417.98,587.77,1073.65,283.47,560.46,3009.66,
420.729,2510.13,923.98,4338.11,632.82,954.87,238.42,570.7,2931.84,
420.937,2438.45,801.1,4538.81,509.94,854.51,105.3,337.23,2905.21,
421.145,2551.09,833.86,4336.06,514.04,702.97,37.72,290.13,2802.82,
421.353,2432.3,915.78,4571.58,616.44,727.54,359.25,324.94,3077.24,
421.561,2737.45,1020.23,4409.79,718.84,631.29,262.99,312.66,3011.71,
421.769,2489.65,936.26,4489.66,614.39,606.71,285.52,308.56,3056.76,
421.977,2577.71,932.17,4362.69,722.93,567.8,138.07,128.34,3024,
422.185,2413.87,981.32,4170.18,688.12,555.51,275.28,306.51,2985.09,
422.393,2647.34,1018.18,4387.26,526.33,582.14,213.84,232.79,2925.69,
422.601,2688.3,1005.89,4651.45,739.32,557.56,277.33,249.17,3179.64,
422.809,2630.96,1065.29,4518.33,747.51,539.13,195.41,177.49,3048.57,
423.017,2503.98,1089.86,4407.74,770.04,520.7,199.51,187.73,3032.19,
423.224,2811.18,1040.71,4510.14,774.13,655.86,252.75,230.74,2989.18,
423.432,2665.77,1173.83,4645.31,743.41,571.9,285.52,294.22,3159.16,
423.64,2614.57,1106.24,4452.8,827.38,535.03,230.23,228.69,3060.86,
423.848,2817.32,1196.36,4702.65,884.72,567.8,248.66,271.7,3146.87,
424.056,2528.56,1075.52,4280.77,673.78,551.42,209.75,159.06,2980.99,
424.263,2733.36,1286.47,4542.91,925.68,647.67,287.57,257.36,3173.5,
424.471,2686.25,1222.98,4620.73,811,584.18,271.19,138.58,2978.94,
424.679,2659.63,1352,4635.07,854,717.3,293.71,316.75,3171.45,
424.887,2655.53,1233.22,4448.7,808.95,584.18,181.07,116.05,3095.68,
425.094,2729.26,1253.7,4784.57,1001.46,774.64,306,333.14,3228.79,
425.302,2737.45,1311.04,4864.44,980.98,799.22,330.58,257.36,3204.22,
425.51,2676.01,1311.04,4807.09,1058.8,774.64,242.51,320.85,3273.85,
425.718,2788.65,1360.19,4749.75,1017.84,831.99,291.66,413.01,3146.87,
425.925,2639.15,1368.38,4710.84,976.88,848.37,236.37,275.79,2989.18,
426.133,2671.92,1280.32,4755.9,905.2,887.28,207.7,320.85,3058.81,
426.341,2909.48,1605.95,4841.91,1257.45,1061.36,498.51,415.06,3253.37,
426.548,2759.98,1397.06,4704.7,1142.77,1001.97,250.71,322.9,3310.71,
426.756,2759.98,1448.26,4837.81,1153.01,932.34,187.22,335.18,3292.28,
426.964,2923.82,1501.5,4817.33,1214.45,1016.3,310.1,441.68,3224.7,
427.171,2741.55,1466.69,4864.44,1218.54,1016.3,260.95,298.32,3343.48,
427.379,2997.54,1548.61,4981.17,1179.63,938.48,340.82,400.72,3468.41,
427.586,2762.03,1626.43,4854.2,1212.4,1014.26,289.62,400.72,3359.86,
427.794,2962.73,1646.91,4913.59,1337.32,1034.74,355.15,349.52,3474.55,
428.001,3046.69,1775.93,5161.39,1378.28,948.72,379.73,337.23,3548.28,
428.209,3044.65,1827.13,5048.75,1462.25,958.96,346.96,390.48,3556.47,
428.417,2987.3,1734.97,4970.93,1501.16,987.63,418.64,365.9,3501.17,
428.624,3081.51,1804.6,5499.31,1515.5,956.91,392.02,372.05,3611.76,
428.832,3022.12,1835.32,5427.63,1423.34,954.87,387.92,331.09,3564.66,
429.039,2829.61,1792.31,5052.85,1466.35,842.23,353.1,302.42,3484.79,
429.247,2958.63,1818.94,5003.7,1505.26,813.56,359.25,351.57,3398.77,
429.454,3093.8,2011.45,5145.01,1611.75,999.92,518.99,316.75,3667.06,
429.662,3400.99,2122.04,5620.14,1714.15,1065.46,488.27,474.45,3769.46,
429.869,3093.8,1945.91,5034.42,1650.66,936.43,418.64,339.28,3349.62,
430.076,3202.34,2009.4,5331.37,1841.12,940.53,492.37,318.8,3544.18,
430.284,2950.44,1958.2,5013.94,1628.14,938.48,408.4,326.99,3429.49,
430.491,3104.04,2156.85,5157.3,1882.08,1075.7,562,501.07,3687.54,
430.699,3267.88,2126.13,5280.18,1855.46,1016.3,463.69,384.34,3677.3,
430.906,3269.92,2281.78,5347.76,1978.34,1051.12,547.66,476.49,3732.59,
431.114,3134.76,2070.84,5079.47,1896.42,1018.35,445.26,365.9,3613.81,
431.321,3192.1,2339.12,5333.42,1980.39,995.82,488.27,357.71,3609.72,
431.528,3093.8,2263.35,5089.71,2058.21,866.8,547.66,253.27,3562.61,
431.736,3323.17,2464.05,5370.29,2111.46,1128.94,531.28,320.85,3669.11,
431.943,3376.42,2449.71,5732.78,2109.41,1022.45,564.04,437.58,3970.16,
432.15,3196.2,2613.55,5458.35,2090.98,1026.54,566.09,392.53,3705.97,
432.358,3235.11,2443.57,5231.02,2289.63,1094.13,535.37,353.62,3652.72,
432.565,3314.98,2691.37,5570.99,2492.38,1239.53,617.29,468.3,3865.71,
432.772,3116.33,2453.81,5280.18,2193.37,967.15,369.49,367.95,3720.31,
432.979,3341.6,2654.51,5570.99,2482.14,1270.25,576.33,515.41,3890.29,
433.187,3140.9,2711.85,5527.98,2381.79,1210.86,617.29,611.66,3843.18,
433.394,3300.64,2771.24,5843.37,2549.72,1339.88,625.48,916.81,3814.51,
433.601,3249.44,2853.16,5624.23,2615.26,1354.22,572.24,1135.94,4072.56,
433.808,3446.05,2973.99,5573.03,2635.74,1729,688.97,1727.8,4011.12,
434.016,3435.81,2918.7,5341.61,2691.03,1939.94,785.23,2422.06,4019.31,
434.223,3415.33,2918.7,5771.69,2746.33,2159.07,643.92,3192.1,3904.62,
434.43,3439.9,3182.88,5798.31,2944.98,2451.93,695.11,4207.89,4090.99,
434.637,3351.84,3092.77,5718.44,2971.6,2513.37,768.84,5143.81,4041.84,
434.844,3630.37,3154.21,5849.51,3145.68,3088.85,797.51,6417.65,4103.28,
435.052,3423.52,3262.76,6164.9,3096.53,3336.65,666.44,7390.44,4256.87,
435.259,3675.42,3262.76,6125.99,3069.91,3901.89,828.23,9008.33,4007.02,
435.466,3532.06,3250.47,6085.03,3213.26,4471.23,762.7,11920.54,4037.74,
435.673,3507.49,3408.16,5581.23,3270.61,4743.61,772.94,13819.01,4023.41,
435.88,3546.4,3445.02,5984.68,3444.68,5689.77,748.36,16776.28,4174.95,
436.087,3779.87,3782.94,6259.1,3602.38,5757.35,861,18582.59,4344.94,
436.294,3638.56,3694.88,6244.77,3563.47,5806.5,953.16,18396.22,4494.44,
436.501,3677.47,3576.09,5777.83,3684.3,4870.58,926.54,15295.6,3968.11,
436.708,3302.69,3592.48,6021.54,3618.76,4266.43,924.49,13360.27,4019.31,
436.915,3544.35,3619.1,5824.94,3575.75,3676.62,875.34,10495.16,4187.24,
437.122,3675.42,3883.29,6345.12,3827.65,3228.11,977.73,8070.36,4373.61,
437.329,3423.52,3621.15,6029.73,3893.19,2550.23,951.11,6046.97,4203.63,
437.537,3661.09,4043.03,6341.02,4032.45,2302.43,957.25,4363.54,4392.04,
437.743,3681.57,4004.12,6175.14,4255.68,2036.19,1030.98,3269.92,4279.4,
437.95,3648.8,4000.02,6027.68,4214.72,1700.33,1088.32,2350.39,4332.65,
438.157,3728.67,4208.92,6103.46,4417.47,1673.7,1010.5,1578.3,4351.08,
438.364,3743,4301.08,6257.06,4589.5,1466.86,1153.86,1076.55,4301.93,
438.571,3786.01,4307.22,6338.98,4521.91,1509.86,1088.32,855.37,4361.32,
438.778,3743,4403.47,6128.03,4642.75,1460.71,1094.47,703.82,4172.91,
438.985,4009.24,4622.61,6742.43,4988.85,1405.42,1284.93,662.86,4752.48,
439.192,3802.4,4522.26,6379.93,4970.42,1511.91,1231.68,546.13,4451.43,
439.399,3833.11,4520.21,6394.27,5040.05,1298.92,1327.94,474.45,4445.29,
439.606,3761.44,4665.61,6033.83,5201.84,1346.03,1336.13,476.49,4318.31,
439.813,3810.59,4800.78,6468,5447.6,1462.76,1295.17,531.79,4566.12,
440.02,4185.37,5048.58,6650.27,5836.71,1610.22,1336.13,587.08,4889.7,
440.227,3974.42,5048.58,6482.33,5650.35,1511.91,1450.82,599.37,4850.78,
440.433,3904.79,4970.76,6523.29,5775.27,1442.28,1520.45,476.49,4637.8,
440.64,3777.82,5193.99,6547.87,5896.1,1415.66,1311.55,474.45,4611.17,
440.847,3814.68,5161.22,6158.75,6049.7,1329.64,1407.81,400.72,4412.52,
441.054,3831.07,5132.55,6267.3,6051.75,1450.47,1477.44,449.87,4588.64,
441.261,4177.17,5542.14,6764.95,6793.11,1583.59,1661.76,570.7,4775.01,
441.467,4031.77,5320.96,6465.95,6518.68,1513.96,1645.37,468.3,4602.98,
441.674,3908.89,5480.71,6537.63,6735.77,1294.83,1585.98,310.61,4672.61,
441.881,4236.56,5730.56,6574.49,7124.88,1524.2,1725.24,413.01,4918.37,
442.088,3888.41,5667.07,6543.77,7151.51,1425.9,1633.08,361.81,4627.56,
442.294,4220.18,5705.98,6478.24,7235.47,1483.24,1655.61,552.27,4566.12,
442.501,4048.15,5988.6,6623.64,7448.46,1548.78,1823.55,406.86,4553.83,
442.708,4148.5,6072.57,6584.73,7776.14,1495.53,1755.96,539.98,4775.01,
442.914,4095.25,6293.75,6977.94,8144.77,1440.23,1948.47,402.77,4762.72,
443.121,4224.28,6420.72,7004.57,8359.81,1536.49,2007.86,433.49,5078.11,
443.328,4085.01,6121.72,6795.67,8161.16,1536.49,1884.98,392.53,4836.45,
443.534,4269.33,6564.08,7020.95,9035.64,1487.34,2106.17,527.69,4932.7,
443.741,4201.75,6566.13,6893.97,8824.7,1538.54,2130.74,361.81,4709.47,
443.948,3917.08,6181.11,6416.8,8740.73,1376.75,1960.76,236.88,4584.55,
444.154,4302.1,6734.06,7080.34,9389.94,1575.4,2233.14,443.73,4824.16,
444.361,4445.46,6947.05,6775.19,9690.99,1667.56,2374.45,644.43,5098.59,
444.568,4326.68,6533.36,6787.48,9678.7,1421.8,2093.88,367.95,4713.57,
444.774,4121.88,6711.53,6554.01,9699.18,1628.65,2386.74,462.16,4740.19,
444.981,4035.86,6805.74,6468,9922.41,1284.59,2153.27,374.1,4586.6,
445.187,4240.66,7209.19,6824.34,10688.35,1591.78,2507.57,503.12,5018.72,
445.394,4138.26,7190.76,6877.59,10733.4,1655.27,2353.97,384.34,4879.46,
445.6,4261.14,7178.47,6693.27,10839.9,1401.32,2456.37,374.1,4779.11,
445.807,4302.1,7831.77,7420.3,12060.49,1485.29,2917.16,494.93,5149.79,
446.013,4183.32,7663.84,6896.02,11556.69,1501.67,2673.45,400.72,4852.83,
