# CheminTotalEnMicrons	Intensite
-7.101800000000000182e+03	6.000002870251866227e+01
-7.101600000000000364e+03	5.999996707608741531e+01
-7.101399999999999636e+03	6.000002523657479259e+01
-7.101199999999999818e+03	5.999996662052006968e+01
-7.101000000000000000e+03	6.000003406964371067e+01
-7.100800000000000182e+03	5.999997151002521889e+01
-7.100600000000000364e+03	6.000003320013270525e+01
-7.100399999999999636e+03	5.999996644781581523e+01
-7.100199999999999818e+03	6.000003503787726800e+01
-7.100000000000000000e+03	5.999996352702273583e+01
-7.099800000000000182e+03	6.000002740577153304e+01
-7.099600000000000364e+03	5.999997441962387512e+01
-7.099399999999999636e+03	6.000003072334286713e+01
-7.099199999999999818e+03	5.999997035286443037e+01
-7.099000000000000000e+03	6.000003123984633646e+01
-7.098800000000000182e+03	5.999997334222993572e+01
-7.098600000000000364e+03	6.000002465984967159e+01
-7.098399999999999636e+03	5.999997262014074551e+01
-7.098199999999999818e+03	6.000002836822078223e+01
-7.098000000000000000e+03	5.999996986428940460e+01
-7.097800000000000182e+03	6.000002745595570275e+01
-7.097600000000000364e+03	5.999996493837448952e+01
-7.097399999999999636e+03	6.000002944191233922e+01
-7.097199999999999818e+03	5.999996935066471337e+01
-7.097000000000000000e+03	6.000003594788577033e+01
-7.096800000000000182e+03	5.999996451115471530e+01
-7.096600000000000364e+03	6.000002990868382824e+01
-7.096399999999999636e+03	5.999996584546479284e+01
-7.096199999999999818e+03	6.000003105393385283e+01
-7.096000000000000000e+03	5.999996410480301989e+01
-7.095800000000000182e+03	6.000002887695874421e+01
-7.095600000000000364e+03	5.999996619782172758e+01
-7.095399999999999636e+03	6.000002592064328155e+01
-7.095199999999999818e+03	5.999996412655210776e+01
-7.095000000000000000e+03	6.000003454534768110e+01
-7.094800000000000182e+03	5.999996653480157960e+01
-7.094600000000000364e+03	6.000003426112323979e+01
-7.094399999999999636e+03	5.999996420486169768e+01
-7.094199999999999818e+03	6.000003554557988394e+01
-7.094000000000000000e+03	5.999996734513277374e+01
-7.093800000000000182e+03	6.000002898854018696e+01
-7.093600000000000364e+03	5.999996833905189675e+01
-7.093399999999999636e+03	6.000003050537049631e+01
-7.093199999999999818e+03	5.999996675535454216e+01
-7.093000000000000000e+03	6.000002761172251553e+01
-7.092800000000000182e+03	5.999996488653596316e+01
-7.092600000000000364e+03	6.000003292525917686e+01
-7.092399999999999636e+03	5.999996725859482893e+01
-7.092199999999999818e+03	6.000003614158395493e+01
-7.092000000000000000e+03	5.999996467392758603e+01
-7.091800000000000182e+03	6.000002547403735065e+01
-7.091600000000000364e+03	5.999996734150202826e+01
-7.091399999999999636e+03	6.000002912664721322e+01
-7.091199999999999818e+03	5.999996623700672416e+01
-7.091000000000000000e+03	6.000003017670846361e+01
-7.090800000000000182e+03	5.999996372323938942e+01
-7.090600000000000364e+03	6.000003431733937731e+01
-7.090399999999999636e+03	5.999996714336914039e+01
-7.090199999999999818e+03	6.000002620238982587e+01
-7.090000000000000000e+03	5.999997211843825085e+01
-7.089800000000000182e+03	6.000002620595647329e+01
-7.089600000000000364e+03	5.999997361163481457e+01
-7.089399999999999636e+03	6.000002812029016752e+01
-7.089199999999999818e+03	5.999996783923597121e+01
-7.089000000000000000e+03	6.000003300667290773e+01
-7.088800000000000182e+03	5.999997220860577585e+01
-7.088600000000000364e+03	6.000003042775605167e+01
-7.088399999999999636e+03	5.999997110265472600e+01
-7.088199999999999818e+03	6.000002724120705011e+01
-7.088000000000000000e+03	5.999996565056625286e+01
-7.087800000000000182e+03	6.000003221980059465e+01
-7.087600000000000364e+03	5.999997214408131896e+01
-7.087399999999999636e+03	6.000002669160898705e+01
-7.087199999999999818e+03	5.999997548933998104e+01
-7.087000000000000000e+03	6.000002734920393976e+01
-7.086800000000000182e+03	5.999997520065317502e+01
-7.086600000000000364e+03	6.000003611911198220e+01
-7.086399999999999636e+03	5.999996751116152183e+01
-7.086199999999999818e+03	6.000003315124446601e+01
-7.086000000000000000e+03	5.999996393735511901e+01
-7.085800000000000182e+03	6.000002697474281632e+01
-7.085600000000000364e+03	5.999997077105142296e+01
-7.085399999999999636e+03	6.000003519733640900e+01
-7.085199999999999818e+03	5.999996436902066677e+01
-7.085000000000000000e+03	6.000002766374575458e+01
-7.084800000000000182e+03	5.999996485481042185e+01
-7.084600000000000364e+03	6.000003601259279407e+01
-7.084399999999999636e+03	5.999997346526609476e+01
-7.084199999999999818e+03	6.000003156875921917e+01
-7.084000000000000000e+03	5.999996866251800753e+01
-7.083800000000000182e+03	6.000002660402039822e+01
-7.083600000000000364e+03	5.999997128953508962e+01
-7.083399999999999636e+03	6.000003408510607272e+01
-7.083199999999999818e+03	5.999997482926421100e+01
-7.083000000000000000e+03	6.000002579887663501e+01
-7.082800000000000182e+03	5.999997044893515152e+01
-7.082600000000000364e+03	6.000002841623017247e+01
-7.082399999999999636e+03	5.999996639682787247e+01
-7.082199999999999818e+03	6.000003467810033442e+01
-7.082000000000000000e+03	5.999996491148885980e+01
-7.081800000000000182e+03	6.000003129586311701e+01
-7.081600000000000364e+03	5.999996610712208422e+01
-7.081399999999999636e+03	6.000003099350790592e+01
-7.081199999999999818e+03	5.999996566068841020e+01
-7.081000000000000000e+03	6.000002735087132777e+01
-7.080800000000000182e+03	5.999996557955772403e+01
-7.080600000000000364e+03	6.000002455407727808e+01
-7.080399999999999636e+03	5.999997202971951538e+01
-7.080199999999999818e+03	6.000002637776533732e+01
-7.080000000000000000e+03	5.999996986047965919e+01
-7.079800000000000182e+03	6.000002465101854199e+01
-7.079600000000000364e+03	5.999997402311794303e+01
-7.079399999999999636e+03	6.000003545824515072e+01
-7.079199999999999818e+03	5.999997503982474001e+01
-7.079000000000000000e+03	6.000002891053165399e+01
-7.078800000000000182e+03	5.999996997687438238e+01
-7.078600000000000364e+03	6.000002869325979304e+01
-7.078399999999999636e+03	5.999997162816796958e+01
-7.078199999999999818e+03	6.000003241440218460e+01
-7.078000000000000000e+03	5.999996697561569903e+01
-7.077800000000000182e+03	6.000003594389906425e+01
-7.077600000000000364e+03	5.999997066554806935e+01
-7.077399999999999636e+03	6.000003037286816010e+01
-7.077199999999999818e+03	5.999997290356235879e+01
-7.077000000000000000e+03	6.000003348714153617e+01
-7.076800000000000182e+03	5.999996351416211837e+01
-7.076600000000000364e+03	6.000002982172338761e+01
-7.076399999999999636e+03	5.999997393022153602e+01
-7.076199999999999818e+03	6.000003512975506936e+01
-7.076000000000000000e+03	5.999996454609040342e+01
-7.075800000000000182e+03	6.000002935194137876e+01
-7.075600000000000364e+03	5.999996637324433379e+01
-7.075399999999999636e+03	6.000003337525518532e+01
-7.075199999999999818e+03	5.999997151273544205e+01
-7.075000000000000000e+03	6.000003036764805842e+01
-7.074800000000000182e+03	5.999996788842614848e+01
-7.074600000000000364e+03	6.000003120977661553e+01
-7.074399999999999636e+03	5.999996885343561814e+01
-7.074199999999999818e+03	6.000003118124774204e+01
-7.074000000000000000e+03	5.999996665930824946e+01
-7.073800000000000182e+03	6.000002877637625431e+01
-7.073600000000000364e+03	5.999996573372710884e+01
-7.073399999999999636e+03	6.000002631387614827e+01
-7.073199999999999818e+03	5.999996725299526190e+01
-7.073000000000000000e+03	6.000003388511761671e+01
-7.072800000000000182e+03	5.999996919747962920e+01
-7.072600000000000364e+03	6.000002964905150549e+01
-7.072399999999999636e+03	5.999997026793711541e+01
-7.072199999999999818e+03	6.000002878784256666e+01
-7.072000000000000000e+03	5.999997079712923664e+01
-7.071800000000000182e+03	6.000003294362903716e+01
-7.071600000000000364e+03	5.999997277485576319e+01
-7.071399999999999636e+03	6.000003228381329023e+01
-7.071199999999999818e+03	5.999996571400379253e+01
-7.071000000000000000e+03	6.000003242266670611e+01
-7.070800000000000182e+03	5.999997004640096065e+01
-7.070600000000000364e+03	6.000003320655207517e+01
-7.070399999999999636e+03	5.999997180649565109e+01
-7.070199999999999818e+03	6.000003565513026160e+01
-7.070000000000000000e+03	5.999997356447195074e+01
-7.069800000000000182e+03	6.000003401378994283e+01
-7.069600000000000364e+03	5.999996535895445504e+01
-7.069399999999999636e+03	6.000002447810961570e+01
-7.069199999999999818e+03	5.999996701799828713e+01
-7.069000000000000000e+03	6.000003145893197853e+01
-7.068800000000000182e+03	5.999996658836752772e+01
-7.068600000000000364e+03	6.000002615320669008e+01
-7.068399999999999636e+03	5.999996665922018479e+01
-7.068199999999999818e+03	6.000003554554906060e+01
-7.068000000000000000e+03	5.999996810454189244e+01
-7.067800000000000182e+03	6.000002673396200237e+01
-7.067600000000000364e+03	5.999996376044658319e+01
-7.067399999999999636e+03	6.000002552429793923e+01
-7.067199999999999818e+03	5.999996745830267031e+01
-7.067000000000000000e+03	6.000003182240517674e+01
-7.066800000000000182e+03	5.999997149741828650e+01
-7.066600000000000364e+03	6.000003533437439529e+01
-7.066399999999999636e+03	5.999997522872516953e+01
-7.066199999999999818e+03	6.000002984899889213e+01
-7.066000000000000000e+03	5.999997523837682678e+01
-7.065800000000000182e+03	6.000003308994392626e+01
-7.065600000000000364e+03	5.999997277663588591e+01
-7.065399999999999636e+03	6.000003633418717186e+01
-7.065199999999999818e+03	5.999996933670314547e+01
-7.065000000000000000e+03	6.000003075061378865e+01
-7.064800000000000182e+03	5.999997405508288750e+01
-7.064600000000000364e+03	6.000002550349783093e+01
-7.064399999999999636e+03	5.999997031756175403e+01
-7.064199999999999818e+03	6.000003256158591824e+01
-7.064000000000000000e+03	5.999996518189965400e+01
-7.063800000000000182e+03	6.000003158775459866e+01
-7.063600000000000364e+03	5.999996804383187055e+01
-7.063399999999999636e+03	6.000002979579711138e+01
-7.063199999999999818e+03	5.999996530033799047e+01
-7.063000000000000000e+03	6.000002755756622719e+01
-7.062800000000000182e+03	5.999997466755402797e+01
-7.062600000000000364e+03	6.000003010609086118e+01
-7.062399999999999636e+03	5.999997416557422980e+01
-7.062199999999999818e+03	6.000003532750450574e+01
-7.062000000000000000e+03	5.999996717042150607e+01
-7.061800000000000182e+03	6.000003211181122964e+01
-7.061600000000000364e+03	5.999997070313401792e+01
-7.061399999999999636e+03	6.000003539483576276e+01
-7.061199999999999818e+03	5.999996946005251175e+01
-7.061000000000000000e+03	6.000003245195336632e+01
-7.060800000000000182e+03	5.999997253009530596e+01
-7.060600000000000364e+03	6.000003448063795020e+01
-7.060399999999999636e+03	5.999996362296661090e+01
-7.060199999999999818e+03	6.000002544675695049e+01
-7.060000000000000000e+03	5.999996460209273152e+01
-7.059800000000000182e+03	6.000002643483257003e+01
-7.059600000000000364e+03	5.999996646845168158e+01
-7.059399999999999636e+03	6.000003011287903831e+01
-7.059199999999999818e+03	5.999996809689299937e+01
-7.059000000000000000e+03	6.000002835496962206e+01
-7.058800000000000182e+03	5.999997075749180908e+01
-7.058600000000000364e+03	6.000002616606072081e+01
-7.058399999999999636e+03	5.999996687594401834e+01
-7.058199999999999818e+03	6.000002785249709092e+01
-7.058000000000000000e+03	5.999996448656746395e+01
-7.057800000000000182e+03	6.000003072574013885e+01
-7.057600000000000364e+03	5.999996885421722226e+01
-7.057399999999999636e+03	6.000003007229454255e+01
