# CheminTotalEnMicrons	Intensite
-1.341299999999999955e+03	8.807651041115004631e+00
-1.341099999999999909e+03	1.111814310381209658e+01
-1.340900000000000091e+03	1.007418269243587794e+01
-1.340700000000000045e+03	7.953958765299582012e+00
-1.340500000000000000e+03	1.256351981654916905e+01
-1.340299999999999955e+03	8.039844321365038127e+00
-1.340099999999999909e+03	1.045975954671895458e+01
-1.339900000000000091e+03	1.085269405353573191e+01
-1.339700000000000045e+03	9.399923168858464351e+00
-1.339500000000000000e+03	1.023915670393753174e+01
-1.339299999999999955e+03	1.012259946387085208e+01
-1.339099999999999909e+03	1.022082007489533773e+01
-1.338900000000000091e+03	1.042212944448677092e+01
-1.338700000000000045e+03	1.087349027182843031e+01
-1.338500000000000000e+03	8.207679736706447571e+00
-1.338299999999999955e+03	1.246815947158057725e+01
-1.338099999999999909e+03	8.534512711763065695e+00
-1.337900000000000091e+03	1.047927986910108267e+01
-1.337700000000000045e+03	9.025768032541405361e+00
-1.337500000000000000e+03	1.121043632094290565e+01
-1.337299999999999955e+03	9.030503306266494334e+00
-1.337099999999999909e+03	9.895073114234751444e+00
-1.336900000000000091e+03	8.947612433449423364e+00
-1.336700000000000045e+03	1.071282628923382241e+01
-1.336500000000000000e+03	9.818901670780736168e+00
-1.336299999999999955e+03	9.613806151863299121e+00
-1.336099999999999909e+03	1.174587387043656861e+01
-1.335900000000000091e+03	8.298084003608583004e+00
-1.335700000000000045e+03	1.130419026666130655e+01
-1.335500000000000000e+03	8.881575578589743003e+00
-1.335299999999999955e+03	1.106989116636562009e+01
-1.335099999999999909e+03	9.356833707153377588e+00
-1.334900000000000091e+03	8.928233673179798657e+00
-1.334700000000000045e+03	1.080001799404752560e+01
-1.334500000000000000e+03	1.030484902271327563e+01
-1.334299999999999955e+03	8.416497435494875390e+00
-1.334099999999999909e+03	1.013037437906668004e+01
-1.333900000000000091e+03	9.657393423624721862e+00
-1.333700000000000045e+03	8.126434929027936960e+00
-1.333500000000000000e+03	1.163317125500206295e+01
-1.333299999999999955e+03	8.797260703584825592e+00
-1.333099999999999909e+03	1.055052780839570659e+01
-1.332900000000000091e+03	1.047751041974981945e+01
-1.332700000000000045e+03	9.608828067945870188e+00
-1.332500000000000000e+03	9.817225292506325474e+00
-1.332299999999999955e+03	1.233214910822689525e+01
-1.332099999999999909e+03	8.215176081506617933e+00
-1.331900000000000091e+03	1.065113081267356065e+01
-1.331700000000000045e+03	1.019424744221963408e+01
-1.331500000000000000e+03	9.004189246438823346e+00
-1.331299999999999955e+03	1.133686334525473605e+01
-1.331099999999999909e+03	8.709231440456051132e+00
-1.330900000000000091e+03	9.484378643060539460e+00
-1.330700000000000045e+03	1.036751011989783855e+01
-1.330500000000000000e+03	1.080248813292853782e+01
-1.330299999999999955e+03	8.830491397349188532e+00
-1.330099999999999909e+03	1.117936012411361979e+01
-1.329900000000000091e+03	8.716103156385347717e+00
-1.329700000000000045e+03	1.074158669973864733e+01
-1.329500000000000000e+03	1.005304444803021369e+01
-1.329299999999999955e+03	9.500005840104943644e+00
-1.329099999999999909e+03	1.170859160326014425e+01
-1.328900000000000091e+03	9.160576877289646092e+00
-1.328700000000000045e+03	9.617548154783275294e+00
-1.328500000000000000e+03	8.842009707191921919e+00
-1.328299999999999955e+03	1.036419546169297412e+01
-1.328099999999999909e+03	8.615957993016133187e+00
-1.327900000000000091e+03	1.187392757863855053e+01
-1.327700000000000045e+03	9.375587615354433524e+00
-1.327500000000000000e+03	1.153430964111332990e+01
-1.327299999999999955e+03	1.040855457457030830e+01
-1.327099999999999909e+03	1.074332613960195459e+01
-1.326900000000000091e+03	9.944687075017604627e+00
-1.326700000000000045e+03	8.622218021357873852e+00
-1.326500000000000000e+03	1.127045634927333673e+01
-1.326299999999999955e+03	9.196234936950864025e+00
-1.326099999999999909e+03	1.117748922990952387e+01
-1.325900000000000091e+03	1.046456060814175792e+01
-1.325700000000000045e+03	1.057666036792582176e+01
-1.325500000000000000e+03	8.963793195218999088e+00
-1.325299999999999955e+03	1.087687604661204688e+01
-1.325099999999999909e+03	8.088363624848049938e+00
-1.324900000000000091e+03	1.022692330004068495e+01
-1.324700000000000045e+03	1.155285397985826634e+01
-1.324500000000000000e+03	8.049744199000363309e+00
-1.324299999999999955e+03	1.174460792284862620e+01
-1.324099999999999909e+03	1.033892406300569355e+01
-1.323900000000000091e+03	1.007923825621166714e+01
-1.323700000000000045e+03	1.007107345014151178e+01
-1.323500000000000000e+03	1.034474338002251237e+01
-1.323299999999999955e+03	8.379679666157691997e+00
-1.323099999999999909e+03	1.152074431610865091e+01
-1.322900000000000091e+03	9.247544109471968810e+00
-1.322700000000000045e+03	9.168983566840124055e+00
-1.322500000000000000e+03	1.110381661442462509e+01
-1.322299999999999955e+03	8.672692948601165241e+00
-1.322099999999999909e+03	1.127899404045309417e+01
-1.321900000000000091e+03	1.125990499174666937e+01
-1.321700000000000045e+03	9.839023824855907208e+00
-1.321500000000000000e+03	9.981579348847574806e+00
-1.321299999999999955e+03	1.114225284042166209e+01
-1.321099999999999909e+03	8.303858822057510025e+00
-1.320900000000000091e+03	1.138990119910705623e+01
-1.320700000000000045e+03	9.643322275637601138e+00
-1.320500000000000000e+03	1.061569108479996615e+01
-1.320299999999999955e+03	1.007253792889905242e+01
-1.320099999999999909e+03	8.807595360517264993e+00
-1.319900000000000091e+03	9.512493378115356890e+00
-1.319700000000000045e+03	1.136738977571627274e+01
-1.319500000000000000e+03	1.083133777444764867e+01
-1.319299999999999955e+03	9.853088242979698208e+00
-1.319099999999999909e+03	1.067446510545963889e+01
-1.318900000000000091e+03	8.473258622816222996e+00
-1.318700000000000045e+03	1.205962401957194707e+01
-1.318500000000000000e+03	8.651173186517040037e+00
-1.318299999999999955e+03	9.832684357854578394e+00
-1.318099999999999909e+03	8.802870703298481203e+00
-1.317900000000000091e+03	1.036925741179997296e+01
-1.317700000000000045e+03	1.079560909542584390e+01
-1.317500000000000000e+03	1.086029095568147618e+01
-1.317299999999999955e+03	1.065941293812901236e+01
-1.317099999999999909e+03	1.084958904912960698e+01
-1.316900000000000091e+03	9.811220718349266789e+00
-1.316700000000000045e+03	9.197134112383535509e+00
-1.316500000000000000e+03	1.108607928108573049e+01
-1.316299999999999955e+03	8.205707320945331062e+00
-1.316099999999999909e+03	1.156587460235264686e+01
-1.315900000000000091e+03	9.698833369021773620e+00
-1.315700000000000045e+03	9.380035516470453416e+00
-1.315500000000000000e+03	1.063273142087678380e+01
-1.315299999999999955e+03	9.178505606728879940e+00
-1.315099999999999909e+03	1.039003102157942493e+01
-1.314900000000000091e+03	1.101550181136413009e+01
-1.314700000000000045e+03	1.048240561643297575e+01
-1.314500000000000000e+03	9.291188753779866971e+00
-1.314299999999999955e+03	1.179282968098883089e+01
-1.314099999999999909e+03	7.086851366455612755e+00
-1.313900000000000091e+03	1.074930819716487918e+01
-1.313700000000000045e+03	9.679633841133849614e+00
-1.313500000000000000e+03	9.886633419222942365e+00
-1.313299999999999955e+03	1.026545824562918163e+01
-1.313099999999999909e+03	1.101630731411304964e+01
-1.312900000000000091e+03	8.201635709776953220e+00
-1.312700000000000045e+03	1.109491653896834684e+01
-1.312500000000000000e+03	9.069198003400423147e+00
-1.312299999999999955e+03	8.594323126426985482e+00
-1.312099999999999909e+03	1.301818452298704720e+01
-1.311900000000000091e+03	8.195180909555633164e+00
-1.311700000000000045e+03	1.060555026987714022e+01
-1.311500000000000000e+03	9.447657864706615172e+00
-1.311299999999999955e+03	8.984774794873866099e+00
-1.311099999999999909e+03	9.786584834686930634e+00
-1.310900000000000091e+03	1.029563578116197675e+01
-1.310700000000000045e+03	7.876539543168480151e+00
-1.310500000000000000e+03	1.203678658762166798e+01
-1.310299999999999955e+03	1.012129645506464648e+01
-1.310099999999999909e+03	9.909608541621485855e+00
-1.309900000000000091e+03	1.144769136913777707e+01
-1.309700000000000045e+03	9.395712383180025995e+00
-1.309500000000000000e+03	1.188993882391708112e+01
-1.309299999999999955e+03	8.668443012729063923e+00
-1.309099999999999909e+03	1.071313765840392662e+01
-1.308900000000000091e+03	9.959280731970089562e+00
-1.308700000000000045e+03	1.002186849126279888e+01
-1.308500000000000000e+03	9.715379125128512428e+00
-1.308299999999999955e+03	9.849546542366502067e+00
-1.308099999999999909e+03	9.886717303577837512e+00
-1.307900000000000091e+03	1.071134043192538776e+01
-1.307700000000000045e+03	1.130332259632078440e+01
-1.307500000000000000e+03	9.222017549846297513e+00
-1.307299999999999955e+03	1.086648501960749869e+01
-1.307099999999999909e+03	8.948829267636089213e+00
-1.306900000000000091e+03	1.174308050220625965e+01
-1.306700000000000045e+03	9.249046972099232988e+00
-1.306500000000000000e+03	1.068048535698592971e+01
-1.306299999999999955e+03	1.031816557263229939e+01
-1.306099999999999909e+03	1.055020017145064237e+01
-1.305900000000000091e+03	8.879956655553041145e+00
-1.305700000000000045e+03	1.121536780863084282e+01
-1.305500000000000000e+03	9.070269261373978154e+00
-1.305299999999999955e+03	9.318998942580810407e+00
-1.305099999999999909e+03	1.088548041299147684e+01
-1.304900000000000091e+03	8.414030058856411642e+00
-1.304700000000000045e+03	1.118641755720781283e+01
-1.304500000000000000e+03	1.120776985200431675e+01
-1.304299999999999955e+03	9.994193218247710675e+00
-1.304099999999999909e+03	8.799015450919172920e+00
-1.303900000000000091e+03	1.246300085921512135e+01
-1.303700000000000045e+03	8.149098443274706227e+00
-1.303500000000000000e+03	1.231438232494845586e+01
-1.303299999999999955e+03	9.895818594932666912e+00
-1.303099999999999909e+03	8.257147052257709063e+00
-1.302900000000000091e+03	1.208601714240338509e+01
-1.302700000000000045e+03	8.600584307872347622e+00
-1.302500000000000000e+03	1.062533156211528151e+01
-1.302299999999999955e+03	1.013596406996374100e+01
-1.302099999999999909e+03	9.396895753519521222e+00
-1.301900000000000091e+03	8.232938223395496635e+00
