m# CheminTotalEnMicrons	Intensite
7.338551859099804453e+00	5.999999999147754437e+01
7.299412915851272388e+00	5.999999999213547852e+01
7.260273972602739434e+00	5.999999999132765538e+01
7.221135029354207369e+00	5.999999999172236187e+01
7.181996086105675303e+00	5.999999999267724604e+01
7.142857142857143238e+00	5.999999999201713052e+01
7.103718199608611172e+00	5.999999999250186278e+01
7.064579256360078219e+00	5.999999999127926742e+01
7.025440313111546153e+00	5.999999999202275802e+01
6.986301369863014088e+00	5.999999999133868300e+01
6.947162426614481134e+00	5.999999999068467105e+01
6.908023483365949069e+00	5.999999999322973565e+01
6.868884540117417004e+00	5.999999999010457685e+01
6.829745596868884938e+00	5.999999999256434080e+01
6.790606653620352873e+00	5.999999999296017705e+01
6.751467710371819919e+00	5.999999999241205018e+01
6.712328767123287854e+00	5.999999999082067603e+01
6.673189823874755788e+00	5.999999999249855875e+01
6.634050880626222835e+00	5.999999999080413460e+01
6.594911937377690769e+00	5.999999999153512675e+01
6.555772994129158704e+00	5.999999999201770606e+01
6.516634050880626639e+00	5.999999999287694408e+01
6.477495107632094573e+00	5.999999998954880454e+01
6.438356164383561620e+00	5.999999999203429724e+01
6.399217221135029554e+00	5.999999999252470673e+01
6.360078277886497489e+00	5.999999999191649636e+01
6.320939334637964535e+00	5.999999999046303145e+01
6.281800391389432470e+00	5.999999998917206767e+01
6.242661448140900404e+00	5.999999998916202770e+01
6.203522504892368339e+00	5.999999999068775480e+01
6.164383561643836273e+00	5.999999999076813850e+01
6.125244618395303320e+00	5.999999999149797958e+01
6.086105675146771254e+00	5.999999999040767307e+01
6.046966731898239189e+00	5.999999999201816081e+01
6.007827788649706235e+00	5.999999999029358122e+01
5.968688845401174170e+00	5.999999999233600079e+01
5.929549902152642105e+00	5.999999999129838812e+01
5.890410958904110039e+00	5.999999999062785605e+01
5.851272015655577974e+00	5.999999998890801578e+01
5.812133072407045020e+00	5.999999998872541340e+01
5.772994129158512955e+00	5.999999999013996899e+01
5.733855185909980889e+00	5.999999999132095496e+01
5.694716242661447936e+00	5.999999999141518003e+01
5.655577299412915870e+00	5.999999998803985335e+01
5.616438356164383805e+00	5.999999999089813230e+01
5.577299412915851740e+00	5.999999999132483453e+01
5.538160469667319674e+00	5.999999998979905058e+01
5.499021526418786721e+00	5.999999999104547044e+01
5.459882583170254655e+00	5.999999999134340101e+01
5.420743639921722590e+00	5.999999998784764443e+01
5.381604696673189636e+00	5.999999999064009160e+01
5.342465753424657571e+00	5.999999998891311037e+01
5.303326810176125505e+00	5.999999998991533090e+01
5.264187866927593440e+00	5.999999998844401006e+01
5.225048923679061375e+00	5.999999998858748995e+01
5.185909980430528421e+00	5.999999998932641887e+01
5.146771037181996356e+00	5.999999999020400310e+01
