# CheminTotalEnMicrons	Intensite
3.200106670222340632e+00	1.769527467775420693e+00
3.250108336944564691e+00	2.021047345221163472e+00
3.300110003666788749e+00	2.307353524417274926e+00
3.350111670389012808e+00	2.564994127746672792e+00
3.400113337111236866e+00	2.741835202863803556e+00
3.450115003833460925e+00	2.917561023295164091e+00
3.500116670555684983e+00	2.962630879646978688e+00
3.550118337277909042e+00	2.976241998531882871e+00
3.600120004000133100e+00	2.924269384534795346e+00
3.650121670722357159e+00	2.821357562224452220e+00
3.700123337444581217e+00	2.632422439909407164e+00
3.750125004166805276e+00	2.422053135441104565e+00
3.800126670889029334e+00	2.182436565368395698e+00
3.850128337611253393e+00	1.908865288360565238e+00
3.900130004333477451e+00	1.633983852384347735e+00
3.950131671055701510e+00	1.401170904896734459e+00
4.000133337777925568e+00	1.225772130417331685e+00
4.050135004500149627e+00	1.083462134672904309e+00
4.100136671222373685e+00	1.014689125370648481e+00
4.150138337944597744e+00	1.001051511848159326e+00
4.200140004666821802e+00	1.074692894191918935e+00
4.250141671389045861e+00	1.199705977773663612e+00
4.300143338111269919e+00	1.394718978897063311e+00
4.350145004833493978e+00	1.619576400648273129e+00
4.400146671555718036e+00	1.891671563804971479e+00
4.450148338277942095e+00	2.144040993090669200e+00
4.500150005000166153e+00	2.390042249469984892e+00
4.550151671722390212e+00	2.649543874344647332e+00
4.600153338444614270e+00	2.823391855018772212e+00
4.650155005166838329e+00	2.964798530367715568e+00
4.700156671889062387e+00	2.975523328353532282e+00
4.750158338611286446e+00	2.967875547818534354e+00
4.800160005333511393e+00	2.881252819624051220e+00
4.850161672055735451e+00	2.773167609221435459e+00
4.900163338777959510e+00	2.565418084925298547e+00
4.950165005500183568e+00	2.316370531520811404e+00
5.000166672222407627e+00	2.052809126708688758e+00
5.050168338944631685e+00	1.782732771465796118e+00
5.100170005666855744e+00	1.534169728244048736e+00
5.150171672389079802e+00	1.336792762198535600e+00
5.200173339111303861e+00	1.152612407393090788e+00
5.250175005833527919e+00	1.053009226208079241e+00
5.300176672555751978e+00	1.010621840784148073e+00
5.350178339277976036e+00	1.020681654521740311e+00
5.400180006000200095e+00	1.116440360817082533e+00
5.450181672722424153e+00	1.292139083611091976e+00
5.500183339444648212e+00	1.479067588071046213e+00
5.550185006166872270e+00	1.716414073866399992e+00
5.600186672889096329e+00	2.000579297930306755e+00
5.650188339611320387e+00	2.263494782346322065e+00
5.700190006333544446e+00	2.488277491933831520e+00
5.750191673055768504e+00	2.686008235343516404e+00
5.800193339777992563e+00	2.900600678993221937e+00
5.850195006500216621e+00	2.975691745142455602e+00
5.900196673222440680e+00	3.006806342785790509e+00
5.950198339944664738e+00	2.982042678617578435e+00
6.000200006666888797e+00	2.864710901486703154e+00
6.050201673389112855e+00	2.679472583274733921e+00
6.100203340111336914e+00	2.481499097939204201e+00
6.150205006833560972e+00	2.233742379087395147e+00
6.200206673555785031e+00	1.940832835240653864e+00
6.250208340278009089e+00	1.697657015083214871e+00
6.300210007000233148e+00	1.441654645738832841e+00
6.350211673722457206e+00	1.246136146135055967e+00
6.400213340444681265e+00	1.109530103254583677e+00
6.450215007166905323e+00	1.012596165953935090e+00
6.500216673889129382e+00	1.011780194272631883e+00
6.550218340611353440e+00	1.064081551583724750e+00
6.600220007333577499e+00	1.180649421572073088e+00
6.650221674055801557e+00	1.355934765899373229e+00
6.700223340778025616e+00	1.593661600592041205e+00
6.750225007500249674e+00	1.844655807251791346e+00
6.800226674222473733e+00	2.115409054169225200e+00
6.850228340944697791e+00	2.371252030149994638e+00
6.900230007666921850e+00	2.595029334000841459e+00
6.950231674389145908e+00	2.774216850877430307e+00
7.000233341111369967e+00	2.935411118422526666e+00
7.050235007833594025e+00	2.979016772626764897e+00
7.100236674555818084e+00	3.014828830223931888e+00
7.150238341278042142e+00	2.938572977749302151e+00
7.200240008000266201e+00	2.760605900710905836e+00
7.250241674722490259e+00	2.617323302422877696e+00
7.300243341444714318e+00	2.353009855811112327e+00
7.350245008166938376e+00	2.092350310381924761e+00
7.400246674889162435e+00	1.844966621537561080e+00
7.450248341611386493e+00	1.595433739989243094e+00
7.500250008333610552e+00	1.365087297103888764e+00
7.550251675055834610e+00	1.182032370605051730e+00
7.600253341778058669e+00	1.060252883674272395e+00
7.650255008500282727e+00	1.011371154610391621e+00
7.700256675222506786e+00	1.019221279294773908e+00
7.750258341944730844e+00	1.092437077417347302e+00
7.800260008666954903e+00	1.258750980145883380e+00
7.850261675389178961e+00	1.443017374606640812e+00
7.900263342111403020e+00	1.677957254569445888e+00
7.950265008833627078e+00	1.941228469897623654e+00
8.000266675555851137e+00	2.200537582687672522e+00
8.050268342278075195e+00	2.452673834272770748e+00
8.100270009000299254e+00	2.694675734268035416e+00
8.150271675722523312e+00	2.832165639546921021e+00
8.200273342444747371e+00	2.987471380938092391e+00
8.250275009166971429e+00	3.008223084345258425e+00
8.300276675889195488e+00	2.980595379534245914e+00
8.350278342611419546e+00	2.883895303075927341e+00
8.400280009333643605e+00	2.733703864166698860e+00
8.450281676055867663e+00	2.518775026146880869e+00
8.500283342778091722e+00	2.255327695882163308e+00
8.550285009500315780e+00	1.978629020142571582e+00
8.600286676222539839e+00	1.735150111421103869e+00
8.650288342944763897e+00	1.494634357742876674e+00
8.700290009666987956e+00	1.290859071185654905e+00
8.750291676389212014e+00	1.112609186691548624e+00
8.800293343111436073e+00	1.030834871427356303e+00
8.850295009833660131e+00	9.950707050508035278e-01
8.900296676555884190e+00	1.039967880432317582e+00
8.950298343278108248e+00	1.152217296988701456e+00
9.000300010000332307e+00	1.334754640434997919e+00
9.050301676722556365e+00	1.556522728469332373e+00
9.100303343444780424e+00	1.805853720337242896e+00
9.150305010167004482e+00	2.045354720454266584e+00
9.200306676889228541e+00	2.336509621737491216e+00
9.250308343611452599e+00	2.540675704824149062e+00
9.300310010333676658e+00	2.763324980629044525e+00
9.350311677055900716e+00	2.916609483789002866e+00
9.400313343778124775e+00	3.013702254280362425e+00
9.450315010500348833e+00	3.012105149386434810e+00
9.500316677222572892e+00	2.921594470893476014e+00
9.550318343944796950e+00	2.837292227303912284e+00
9.600320010667022785e+00	2.615698621091934850e+00
9.650321677389246844e+00	2.411273830773025928e+00
9.700323344111470902e+00	2.165470592077772594e+00
9.750325010833694961e+00	1.890911728260377345e+00
9.800326677555919019e+00	1.616096668321446606e+00
9.850328344278143078e+00	1.399191685834776377e+00
9.900330011000367136e+00	1.215238626009456091e+00
9.950331677722591195e+00	1.084279066192645580e+00
1.000033334444481525e+01	9.997796612936442617e-01
1.005033501116703931e+01	1.018695049967013100e+00
1.010033667788926337e+01	1.079049511861345234e+00
1.015033834461148743e+01	1.219951469474083172e+00
1.020034001133371149e+01	1.408264189030808078e+00
1.025034167805593555e+01	1.643036619877492610e+00
1.030034334477815960e+01	1.906964875546530713e+00
1.035034501150038366e+01	2.185105730332916885e+00
1.040034667822260772e+01	2.445845919920861533e+00
1.045034834494483178e+01	2.666669423121213800e+00
1.050035001166705584e+01	2.848359163343639811e+00
1.055035167838927990e+01	2.943782236112046924e+00
1.060035334511150396e+01	2.988633286951739354e+00
1.065035501183372801e+01	2.995057484883441035e+00
1.070035667855595207e+01	2.912253050371284235e+00
1.075035834527817613e+01	2.718987864367534701e+00
1.080036001200040019e+01	2.543238666135956283e+00
1.085036167872262425e+01	2.295100335985987172e+00
1.090036334544484831e+01	2.021352692840903575e+00
1.095036501216707236e+01	1.759871296422103937e+00
1.100036667888929642e+01	1.538941101817818069e+00
1.105036834561152048e+01	1.316743422906675232e+00
1.110037001233374454e+01	1.136984103399441004e+00
1.115037167905596860e+01	1.038318638169063224e+00
1.120037334577819266e+01	9.986743689392107992e-01
1.125037501250041672e+01	1.040395111911865289e+00
1.130037667922264077e+01	1.122612550985058633e+00
1.135037834594486483e+01	1.296669051753281732e+00
1.140038001266708889e+01	1.512581235278605440e+00
1.145038167938931295e+01	1.755997786377740288e+00
1.150038334611153701e+01	2.034410995086299412e+00
1.155038501283376107e+01	2.272491988751849767e+00
1.160038667955598513e+01	2.535243015805991540e+00
1.165038834627820918e+01	2.722845821255339693e+00
1.170039001300043324e+01	2.897585004297562605e+00
1.175039167972265730e+01	3.000097141970963222e+00
1.180039334644488136e+01	2.970705525398916524e+00
1.185039501316710542e+01	2.961600179820830903e+00
1.190039667988932948e+01	2.839642432366462632e+00
1.195039834661155354e+01	2.657707341186217320e+00
1.200040001333377759e+01	2.422509232768479848e+00
1.205040168005600165e+01	2.201723506769575067e+00
1.210040334677822571e+01	1.920599929168080866e+00
1.215040501350044977e+01	1.655645927526202321e+00
1.220040668022267383e+01	1.431454563882712527e+00
1.225040834694489789e+01	1.232483946073049896e+00
1.230041001366712194e+01	1.099862978958074056e+00
1.235041168038934600e+01	1.019504357027900321e+00
1.240041334711157006e+01	1.004050366225119673e+00
1.245041501383379412e+01	1.056488793047952734e+00
1.250041668055601818e+01	1.203516151150471059e+00
1.255041834727824224e+01	1.379046773630017153e+00
1.260042001400046630e+01	1.606880280579391140e+00
1.265042168072269035e+01	1.858061737345279685e+00
1.270042334744491441e+01	2.131813609478756977e+00
1.275042501416713847e+01	2.400271872199758683e+00
1.280042668088936253e+01	2.604944574059485429e+00
1.285042834761158659e+01	2.811133852564132063e+00
1.290043001433381065e+01	2.933394960501159776e+00
1.295043168105603471e+01	3.004275179408689489e+00
1.300043334777825876e+01	2.963036524216848822e+00
1.305043501450048282e+01	2.885110073425401378e+00
1.310043668122270688e+01	2.756263898471254858e+00
1.315043834794493094e+01	2.567615821486559646e+00
1.320044001466715500e+01	2.339881737635253423e+00
1.325044168138937906e+01	2.086441891395311110e+00
1.330044334811160311e+01	1.810403188101864957e+00
1.335044501483382717e+01	1.558450362665782629e+00
1.340044668155605123e+01	1.332721401719896059e+00
1.345044834827827529e+01	1.171843823994921596e+00
1.350045001500049935e+01	1.052999965265879245e+00
1.355045168172272341e+01	9.947022513127625754e-01
1.360045334844494747e+01	1.027469631701744879e+00
1.365045501516717152e+01	1.119648031198819949e+00
1.370045668188939558e+01	1.271098581213739864e+00
1.375045834861161964e+01	1.472949051784836261e+00
1.380046001533384370e+01	1.700463110683491097e+00
1.385046168205606776e+01	1.966550763044850214e+00
1.390046334877829182e+01	2.249132980944547722e+00
1.395046501550051588e+01	2.464181969046260523e+00
1.400046668222273993e+01	2.675536798792205850e+00
1.405046834894496399e+01	2.859029011751231142e+00
1.410047001566718805e+01	2.936154587949395989e+00
1.415047168238941211e+01	3.014507139399133173e+00
1.420047334911163617e+01	2.974970643283340266e+00
1.425047501583386023e+01	2.840864047658028912e+00
1.430047668255608428e+01	2.697419222687150064e+00
1.435047834927830834e+01	2.478581154905996176e+00
1.440048001600053240e+01	2.241064592913512232e+00
1.445048168272275646e+01	1.967738009020330470e+00
1.450048334944498052e+01	1.700688861973695731e+00
1.455048501616720458e+01	1.465594987063268739e+00
1.460048668288942864e+01	1.275328295476471308e+00
1.465048834961165269e+01	1.102094109678523948e+00
1.470049001633387675e+01	1.019916432811533324e+00
1.475049168305610081e+01	1.001727452053661649e+00
1.480049334977832487e+01	1.062605944912019096e+00
1.485049501650054893e+01	1.163010967208583102e+00
1.490049668322277299e+01	1.339345328879661068e+00
1.495049834994499705e+01	1.578426756757283167e+00
1.500050001666722110e+01	1.808476359333903050e+00
1.505050168338944516e+01	2.071020208446877398e+00
1.510050335011166922e+01	2.359067326248805774e+00
1.515050501683389328e+01	2.599081879715298360e+00
1.520050668355611734e+01	2.787063742429057189e+00
1.525050835027834140e+01	2.896273621429232392e+00
1.530051001700056545e+01	2.964814734433360410e+00
1.535051168372278951e+01	3.010088771559078946e+00
1.540051335044501357e+01	2.942292461499503187e+00
1.545051501716723763e+01	2.800871868245565555e+00
1.550051668388946169e+01	2.594657693339025517e+00
1.555051835061168575e+01	2.370649572993296150e+00
1.560052001733390981e+01	2.135143911212757928e+00
1.565052168405613386e+01	1.844709538432855345e+00
1.570052335077835792e+01	1.620351589279562354e+00
1.575052501750058198e+01	1.390826021522098666e+00
1.580052668422280604e+01	1.189085758972263873e+00
1.585052835094503010e+01	1.056421630420425917e+00
1.590053001766725416e+01	1.013759145978062159e+00
1.595053168438947822e+01	1.005419250127162378e+00
1.600053335111170227e+01	1.095117716087782522e+00
1.605053501783392633e+01	1.246963091752274044e+00
1.610053668455615039e+01	1.432945621154251947e+00
